M,vorname,geschlecht,position
42,Noah,m,1
40,Emil,m,1
37,Sophie,w,2
36,Ida,w,1
35,Mia,w,1
35,Oskar,m,1
32,Emma,w,1
32,Levi,m,1
31,Adam,m,1
30,Emilia,w,1
29,Theo,m,1
27,Anton,m,1
27,Elias,m,1
27,Emilia,w,2
26,Leni,w,1
26,Leo,m,1
25,Leon,m,1
25,Liam,m,1
24,Helena,w,1
24,Lotta,w,1
24,Henry,m,1
24,Karl,m,1
24,Milo,m,1
23,Ella,w,1
23,Mila,w,1
23,Elisabeth,w,2
23,Marie,w,2
22,Mathilda,w,1
22,Jonathan,m,1
21,Alma,w,1
21,Charlotte,w,1
21,Clara,w,1
21,Johanna,w,1
21,Luna,w,1
21,Thea,w,1
21,Arthur,m,1
21,Ben,m,1
21,Bruno,m,1
21,Matteo,m,1
21,Maximilian,m,1
20,Frieda,w,1
20,Hanna,w,1
20,Malia,w,1
20,Alexander,m,1
20,Emilio,m,1
20,Finn,m,1
20,Moritz,m,1
20,Valentin,m,1
20,Luise,w,2
19,Alva,w,1
19,Lara,w,1
19,Mara,w,1
19,Fritz,m,1
19,Paul,m,1
19,Charlotte,w,2
18,Nora,w,1
18,Franz,m,1
18,Lio,m,1
18,Alexander,m,2
17,Emily,w,1
17,Lina,w,1
17,Marie,w,1
17,Mira,w,1
17,Konstantin,m,1
17,Mika,m,1
17,Milan,m,1
17,Samuel,m,1
16,Elena,w,1
16,Olivia,w,1
16,Aaron,m,1
16,Alfred,m,1
16,Johann,m,1
16,Jonas,m,1
16,Theodor,m,1
16,Vincent,m,1
15,Maja,w,1
15,Sophia,w,1
15,Tilda,w,1
15,Carlo,m,1
15,Lukas,m,1
15,Emil,m,2
14,Anna,w,1
14,Juna,w,1
14,Leonie,w,1
14,Jonah,m,1
14,Linus,m,1
14,Luca,m,1
14,Maria,w,2
14,Karl,m,2
14,Valentin,m,2
13,Amelie,w,1
13,Hannah,w,1
13,Lea,w,1
13,Lena,w,1
13,Lia,w,1
13,Merle,w,1
13,Sofia,w,1
13,Louis,m,1
13,Malte,m,1
13,Valentina,w,2
13,Elias,m,2
13,Maximilian,m,2
12,Amalia,w,1
12,Lilly,w,1
12,Maria,w,1
12,Pauline,w,1
12,Felix,m,1
12,Fynn,m,1
12,Jakob,m,1
12,Kurt,m,1
12,Matheo,m,1
12,Ole,m,1
11,Eva,w,1
11,Flora,w,1
11,Malina,w,1
11,Matilda,w,1
11,Maya,w,1
11,Paula,w,1
11,Sophie,w,1
11,Bela,m,1
11,Leonard,m,1
10,Alina,w,1
10,Antonia,w,1
10,Jette,w,1
10,Julia,w,1
10,Klara,w,1
10,Martha,w,1
10,Nele,w,1
10,Rosa,w,1
10,Wilma,w,1
10,Amir,m,1
10,David,m,1
10,Willi,m,1
10,Lou,w,2
10,David,m,2
10,Michael,m,2
10,Theodor,m,2
9,Amelia,w,1
9,Amira,w,1
9,Ayla,w,1
9,Finja,w,1
9,Freya,w,1
9,Frida,w,1
9,Hilda,w,1
9,Liv,w,1
9,Lotte,w,1
9,Marlene,w,1
9,Rosalie,w,1
9,Valentina,w,1
9,Albert,m,1
9,Ali,m,1
9,Daniel,m,1
9,Henri,m,1
9,Jaro,m,1
9,Jasper,m,1
9,Jona,m,1
9,Leopold,m,1
9,Max,m,1
9,Mohammed,m,1
9,Taavi,m,1
9,Till,m,1
9,Helene,w,2
9,Johanna,w,2
9,Alfred,m,2
9,Johann,m,2
9,Otto,m,2
9,Pepe,m,2
9,Peter,m,2
8,Amina,w,1
8,Aurelia,w,1
8,Elina,w,1
8,Elisa,w,1
8,Fiona,w,1
8,Fritzi,w,1
8,Holly,w,1
8,Livia,w,1
8,Luisa,w,1
8,Luise,w,1
8,Malou,w,1
8,Marla,w,1
8,Milena,w,1
8,Paulina,w,1
8,Pia,w,1
8,Ruby,w,1
8,Sarah,w,1
8,Arian,m,1
8,Benjamin,m,1
8,Dario,m,1
8,Erik,m,1
8,Fred,m,1
8,Friedrich,m,1
8,Gustav,m,1
8,Hugo,m,1
